time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
01:16 PM,QQQ,01/30/26,605,PUTS,620.83,"8,000 @ 6.21",BLOCK,$5M,4968000.0,ETF/N,BLOCK,"8,000",False
10:08 AM,SPY,06/16/28,850,CALLS,687.73,"1,000 @ 28.10",SWEEP,$2.8M,2810000.0,ETF/N,SWEEP,"1,000",False
10:06 AM,SPY,06/16/28,850,CALLS,687.63,"1,000 @ 28.04",SWEEP,$2.8M,2804000.0,ETF/N,SWEEP,"1,000",False
09:46 AM,AMD,01/16/26,212.5,CALLS,214.99,"1,404 @ 9.90",SWEEP,$1.4M,1390219.0,TECH,SWEEP,"1,404",False
10:14 AM,GOOG,04/17/26,340,CALLS,314.44,"1,000 @ 13.69",SPLIT,$1.4M,1369000.0,TECH,SPLIT,"1,000",False
03:46 PM,AMZN,02/20/26,230,CALLS,232.11,"1,000 @ 13.50",SWEEP,$1.4M,1350000.0,DISCR,SWEEP,"1,000",False
10:15 AM,TSLA,09/18/26,700,CALLS,459.18,431 @ 30.25,SWEEP,$1.3M,1303746.0,CONST,SWEEP,431,False
12:45 PM,ARM,12/18/26,115,CALLS,111.75,500 @ 23.15,BLOCK,$1.2M,1157500.0,ETF/N,BLOCK,500,False
12:04 PM,BE,06/18/26,100,CALLS,88.16,560 @ 20.39,SWEEP,$1.1M,1141911.0,INDUS,SWEEP,560,False
11:45 AM,UPS,01/15/27,100,CALLS,99.84,988 @ 11.50,SWEEP,$1.1M,1135789.0,INDUS,SWEEP,988,False
11:25 AM,CORT,08/21/26,85,CALLS,75.56,700 @ 15.90,BLOCK,$1.1M,1113000.0,HLTH,BLOCK,700,False
12:27 PM,HLF,12/18/26,12.5,PUTS,12.69,"3,500 @ 3.12",BLOCK,$1.1M,1092000.0,CONST,BLOCK,"3,500",False
11:45 AM,ORCL,03/20/26,195,CALLS,196.92,500 @ 20.45,SWEEP,$1M,1022500.0,TECH,SWEEP,500,False
