ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
AAPL,03/12/2024,207.49,46229228,9592102517.720001,,100
AAPL,03/12/2024,254.49,44330101,11281567403.49,,96
AAPL,03/12/2024,228.20,33822229,7718232657.799999,,73
BABA,03/12/2024,100.46,7302348,733593880.0799999,,100
BABA,03/12/2024,85.14,6688332,569444586.48,,92
BABA,03/12/2024,97.42,5437003,529672832.26,,74
BABA,03/12/2024,81.02,5343084,432896665.68,,73
BABA,03/12/2024,113.01,4326881,488980821.81,,59
BABA,03/12/2024,85.52,3713688,317594597.76,,51
BE,03/12/2024,129.05,3099748,400022479.40000004,,100
BE,03/12/2024,54.91,2642150,145080456.5,,85
BE,03/12/2024,85.20,2019100,172027320.0,,65
BE,03/12/2024,43.35,1903200,82503720.0,,61
BE,03/12/2024,10.25,1606100,16462525.0,,52
EWJ,03/12/2024,81.55,7496689,611354987.9499999,,100
GH,03/12/2024,46.09,1735735,80000026.15,,100
GOOGL,03/12/2024,178.53,20773227,3708644216.31,,100
INTC,03/12/2024,21.00,34107198,716251158.0,,100
INTC,03/12/2024,36.82,32064225,1180604764.5,,94
INTC,03/12/2024,20.41,29383198,599711071.18,,86
INTC,03/12/2024,19.75,22437697,443144515.75,,66
INTC,03/12/2024,22.69,20058298,455122781.62,,59
INTC,03/12/2024,24.87,16953154,421624939.98,,50
IWM,03/12/2024,242.91,18823808,4572491201.28,,100
IWM,03/12/2024,209.65,11400000,2390010000.0,,61
OXY,03/12/2024,48.55,3658555,177622845.25,,100
OXY,03/12/2024,42.60,3225315,137398419.0,,88
OXY,03/12/2024,44.51,2770565,123317848.14999999,,76
OXY,03/12/2024,45.76,2571696,117680808.96,,70
OXY,03/12/2024,42.75,1984165,84823053.75,,54
OXY,03/12/2024,54.76,1887116,103338472.16,,52
SOXL,03/12/2024,17.13,20000000,342600000.0,,100
SOXX,03/12/2024,200.85,1194921,239999882.85,,100
SOXX,03/12/2024,316.33,1012396,320251226.68,,85
SOXX,03/12/2024,248.87,900000,223983000.0,,75
SOXX,03/12/2024,189.09,807617,152712298.53,,68
SOXX,03/12/2024,233.34,795000,185505300.0,,67
SOXX,03/12/2024,205.00,716751,146933955.0,,60
SOXX,03/12/2024,298.01,709915,211561769.15,,59
SOXX,03/12/2024,175.06,599449,104939541.94,,50
TSLA,03/12/2024,481.20,13066269,6287488642.8,,100
