time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
10:25 AM,META,02/06/26,700,CALLS,646.31,771 @ 12.25,SWEEP,$944K,944375.0,TECH,SWEEP,771,True
10:15 AM,META,02/06/26,700,CALLS,646.82,500 @ 12.15,SWEEP,$608K,607500.0,TECH,SWEEP,500,True
12:04 PM,NEM,01/30/26,120,CALLS,108.86,"1,000 @ 1.40",BLOCK,$140K,140000.0,MAT,BLOCK,"1,000",True
10:18 AM,SATS,01/16/26,125,CALLS,114.38,"1,087 @ 1.25",BLOCK,$136K,135875.0,DISCR,BLOCK,"1,087",True
10:12 AM,B,01/16/26,49,CALLS,45.49,"2,500 @ 0.38",BLOCK,$95K,95000.0,INDUS,BLOCK,"2,500",True
11:37 AM,BMNR,01/16/26,35,CALLS,31.17,"1,250 @ 0.63",SPLIT,$79K,78750.0,ETF/N,SPLIT,"1,250",True
10:22 AM,ASTS,01/09/26,100,CALLS,91.38,500 @ 1.12,SPLIT,$56K,56000.0,ETF/N,SPLIT,500,True
12:55 PM,NKE,01/30/26,70,CALLS,63.77,"1,000 @ 0.53",SWEEP,$53K,53000.0,CONST,SWEEP,"1,000",True
10:45 AM,ENVX,01/09/26,9,CALLS,8.12,"3,092 @ 0.16",BLOCK,$50K,49472.0,ETF/N,BLOCK,"3,092",True
02:18 PM,CRML,01/09/26,15,CALLS,13.46,749 @ 0.60,SPLIT,$45K,44940.0,ETF/N,SPLIT,749,True
02:25 PM,CRML,01/09/26,15,CALLS,13.37,749 @ 0.55,SPLIT,$41K,41195.0,ETF/N,SPLIT,749,True
03:27 PM,RIVN,01/30/26,22.5,CALLS,20.50,597 @ 0.68,SWEEP,$41K,40596.0,CONST,SWEEP,597,True
10:29 AM,RKLB,01/09/26,91,CALLS,84.00,500 @ 0.80,BLOCK,$40K,40000.0,ETF/N,BLOCK,500,True
03:32 PM,ASTS,01/09/26,94,CALLS,84.46,540 @ 0.71,SPLIT,$38K,38340.0,ETF/N,SPLIT,540,True
12:58 PM,OPEN,01/09/26,7,CALLS,6.51,"3,683 @ 0.10",SWEEP,$37K,36830.0,FINS,SWEEP,"3,683",True
02:24 PM,ABAT,01/30/26,6.5,CALLS,4.78,"1,784 @ 0.20",SWEEP,$36K,35680.0,ETF/N,SWEEP,"1,784",True
10:12 AM,RKLB,01/09/26,90,CALLS,82.71,500 @ 0.71,BLOCK,$36K,35500.0,ETF/N,BLOCK,500,True
12:58 PM,OPEN,01/09/26,7,CALLS,6.50,"3,490 @ 0.10",BLOCK,$35K,34900.0,FINS,BLOCK,"3,490",True
01:29 PM,XXRP,01/16/26,16.62,CALLS,13.30,500 @ 0.55,SWEEP,$28K,27500.0,ETF/N,SWEEP,500,True
10:49 AM,CRWV,01/09/26,85,CALLS,78.36,505 @ 0.52,SWEEP,$26K,26260.0,ETF/N,SWEEP,505,True
01:08 PM,NOK,01/30/26,7.5,CALLS,6.83,920 @ 0.21,BLOCK,$19K,19320.0,TECH,BLOCK,920,True
10:32 AM,SOFI,01/16/26,29,CALLS,26.59,828 @ 0.23,SWEEP,$19K,19044.0,FINS,SWEEP,828,True
10:07 AM,POET,01/30/26,9,CALLS,7.62,584 @ 0.31,SWEEP,$18K,18104.0,ETF/N,SWEEP,584,True
10:39 AM,CELH,01/16/26,55,CALLS,50.45,500 @ 0.35,SWEEP,$18K,17500.0,CONST,SWEEP,500,True
03:02 PM,USAU,01/16/26,22.5,CALLS,20.30,500 @ 0.30,SWEEP,$15K,14994.0,ETF/N,SWEEP,500,True
12:55 PM,OSCR,01/16/26,18,CALLS,16.10,500 @ 0.25,SWEEP,$13K,12500.0,ETF/N,SWEEP,500,True
12:51 PM,OPEN,01/16/26,7,CALLS,6.42,500 @ 0.22,SPLIT,$11K,11000.0,FINS,SPLIT,500,True
03:44 PM,LION,01/16/26,10,CALLS,8.76,"1,052 @ 0.10",BLOCK,$11K,10520.0,ETF/N,BLOCK,"1,052",True
