time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
03:31 PM,NVDA,03/20/26,202.5,CALLS,184.78,"10,088 @ 2.44",SWEEP,$2.5M,2456795.0,TECH,SWEEP,"10,088",True
02:32 PM,CMPX,03/20/26,8,CALLS,5.75,"10,000 @ 1.55",BLOCK,$1.6M,1550000.0,ETF/N,BLOCK,"10,000",True
02:21 PM,CMPX,03/20/26,8,CALLS,5.72,"10,000 @ 1.39",BLOCK,$1.4M,1390000.0,ETF/N,BLOCK,"10,000",True
10:06 AM,ACN,03/20/26,220,CALLS,203.98,897 @ 5.69,BLOCK,$510K,510393.0,INDUS,BLOCK,897,True
10:08 AM,CRCL,03/20/26,100,CALLS,88.87,676 @ 3.65,SWEEP,$247K,246740.0,ETF/N,SWEEP,676,True
03:38 PM,AAOI,02/27/26,61,CALLS,53.37,800 @ 1.75,BLOCK,$140K,140000.0,TECH,BLOCK,800,True
03:20 PM,SG,03/13/26,7,CALLS,6.13,"3,476 @ 0.40",SWEEP,$138K,138058.0,ETF/N,SWEEP,"3,476",True
01:13 PM,AVGO,03/13/26,365,CALLS,310.02,315 @ 3.29,BLOCK,$104K,103635.0,INDUS,BLOCK,315,True
10:07 AM,USO,03/11/26,86,CALLS,79.17,500 @ 1.89,SWEEP,$95K,94500.0,ETF/N,SWEEP,500,True
09:47 AM,RDW,03/20/26,9.5,CALLS,8.82,"1,000 @ 0.90",SWEEP,$90K,90000.0,ETF/N,SWEEP,"1,000",True
12:39 PM,RXT,03/20/26,2,CALLS,1.76,"2,500 @ 0.35",SWEEP,$88K,87486.0,TECH,SWEEP,"2,500",True
09:44 AM,AA,03/20/26,70,CALLS,61.68,502 @ 1.48,SWEEP,$74K,74295.0,MAT,SWEEP,502,True
01:18 PM,FLY,03/06/26,25,CALLS,20.51,"1,000 @ 0.73",BLOCK,$73K,73000.0,INDUS,BLOCK,"1,000",True
02:16 PM,ONDS,03/20/26,12,CALLS,10.39,910 @ 0.70,BLOCK,$64K,63700.0,TECH,BLOCK,910,True
03:20 PM,FIGR,03/06/26,40,CALLS,33.43,500 @ 1.15,SWEEP,$58K,57500.0,ETF/N,SWEEP,500,True
01:47 PM,MARA,03/06/26,9,CALLS,8.24,"2,000 @ 0.28",SWEEP,$56K,56000.0,INDUS,SWEEP,"2,000",True
09:31 AM,IONQ,03/20/26,50,CALLS,40.48,501 @ 1.10,SWEEP,$55K,55110.0,ETF/N,SWEEP,501,True
01:48 PM,MARA,03/20/26,10,CALLS,8.22,"2,000 @ 0.27",SWEEP,$54K,54000.0,INDUS,SWEEP,"2,000",True
01:22 PM,WULF,02/27/26,19,CALLS,17.39,"1,452 @ 0.36",SWEEP,$52K,52272.0,ETF/N,SWEEP,"1,452",True
01:08 PM,WULF,02/27/26,19,CALLS,17.30,"1,493 @ 0.34",SWEEP,$51K,50762.0,ETF/N,SWEEP,"1,493",True
10:29 AM,NFLX,03/20/26,90,CALLS,83.44,349 @ 1.35,BLOCK,$47K,47115.0,DISCR,BLOCK,349,True
12:52 PM,NVO,03/20/26,42,CALLS,37.40,"1,409 @ 0.33",SWEEP,$47K,46497.0,HLTH,SWEEP,"1,409",True
02:04 PM,MARA,03/13/26,9.5,CALLS,8.31,"1,452 @ 0.30",SWEEP,$44K,43560.0,INDUS,SWEEP,"1,452",True
09:34 AM,NFLX,03/20/26,92,CALLS,83.42,381 @ 0.95,SWEEP,$36K,36195.0,DISCR,SWEEP,381,True
01:39 PM,MARA,03/06/26,9.5,CALLS,8.21,"2,000 @ 0.16",SWEEP,$32K,32000.0,INDUS,SWEEP,"2,000",True
11:04 AM,UEC,03/27/26,18.5,CALLS,15.15,500 @ 0.62,BLOCK,$31K,31000.0,MAT,BLOCK,500,True
10:24 AM,NKE,03/20/26,70,CALLS,64.57,500 @ 0.59,SWEEP,$30K,29500.0,CONST,SWEEP,500,True
03:35 PM,PL,03/06/26,27.5,CALLS,25.30,500 @ 0.55,SWEEP,$27K,27409.0,ETF/N,SWEEP,500,True
02:08 PM,MARA,03/20/26,10,CALLS,8.31,893 @ 0.29,SWEEP,$26K,25897.0,INDUS,SWEEP,893,True
02:08 PM,MARA,03/20/26,9.5,CALLS,8.31,631 @ 0.40,SWEEP,$25K,25240.0,INDUS,SWEEP,631,True
12:33 PM,OWL,03/13/26,12,CALLS,10.94,"1,000 @ 0.24",SPLIT,$24K,24000.0,ETF/N,SPLIT,"1,000",True
01:51 PM,MARA,03/06/26,9.5,CALLS,8.21,"1,000 @ 0.17",SWEEP,$17K,17000.0,INDUS,SWEEP,"1,000",True
12:34 PM,SOUN,02/27/26,10,CALLS,8.80,"1,000 @ 0.17",BLOCK,$17K,17000.0,ETF/N,BLOCK,"1,000",True
03:35 PM,CPNG,02/27/26,20,CALLS,18.46,500 @ 0.27,SPLIT,$14K,13500.0,DISCR,SPLIT,500,True
09:45 AM,SOUN,02/27/26,9.5,CALLS,8.72,550 @ 0.24,SPLIT,$13K,13200.0,ETF/N,SPLIT,550,True
03:57 PM,SG,02/27/26,7.5,CALLS,6.14,637 @ 0.20,SWEEP,$13K,12699.0,ETF/N,SWEEP,637,True
10:08 AM,RR,03/20/26,3,CALLS,2.73,573 @ 0.20,SWEEP,$12K,11460.0,ETF/N,SWEEP,573,True
